,GP,MIN per game,AST per game,Passes per game,Total AST,FT Assists per game,Secondary Assists per game,Assist opportunities per game,Points created by assist per game,Points Created by AST Per 48 Min
Player,,,,,,,,,,
Zaza Pachulia (MIL),52,25.3,2.6,31,136,0.4,0.5,4.8,5.8,11
Zach Randolph (MEM),79,34.4,2.5,36.6,200,0.2,0.6,5.2,5.8,8.1
Xavier Henry (LAL),43,21.2,1.2,22.3,51,0.1,0.4,3,2.7,6.2
Wilson Chandler (DEN),62,31.2,1.8,28.1,114,0.2,0.4,3.6,4.3,6.7
Willie Green (LAC),55,15.9,0.9,15.7,50,0.2,0.4,2.2,2.4,7.2
Will Bynum (DET),56,18.9,3.9,27,216,0.5,0.8,7.8,8.9,22.5
Will Barton (POR),41,9.5,0.8,10.7,33,0.1,0.4,1.7,1.9,9.8
Wesley Matthews (POR),82,34.1,2.4,30.1,197,0.2,0.7,4.8,5.5,7.8
Wesley Johnson (LAL),79,28.5,1.6,26.2,124,0.1,0.3,3.1,3.6,6.1
Wayne Ellington (DAL),45,8.7,0.4,7.9,19,0,0,0.8,1,5.5
Vitor Faverani (BOS),37,13.3,0.4,19.2,16,0.1,0.2,1,1,3.6
Vince Carter (DAL),81,24.4,2.6,29.8,212,0.3,0.5,4.9,6,11.9
Victor Oladipo (ORL),80,31.2,4.1,46.7,327,0.4,1,9.1,9.4,14.4
Victor Claver (POR),21,8.8,0.6,8.8,12,0.1,0,0.9,1.3,7.3
Viacheslav Kravtsov (PHX),20,3,0.1,4,1,0,0,0.3,0.1,2.4
Vander Blue (BOS),3,4.9,0.3,2,1,0,0,0.7,0.7,6.5
Udonis Haslem (MIA),46,14.3,0.3,13.2,13,0,0.3,0.5,0.7,2.4
Tyson Chandler (NYK),55,30.4,1.1,31,59,0,0.5,2.6,2.5,4
Tyshawn Taylor (BKN),22,12,1.6,19.9,36,0.5,0.4,2.8,4,16
Tyreke Evans (NOP),72,28.3,5,34.1,363,0.6,0.6,9.2,11.9,20.1
Tyler Zeller (CLE),70,15.1,0.5,14.2,36,0,0.3,0.9,1.2,3.9
Tyler Hansbrough (TOR),63,15.4,0.3,16.7,17,0.1,0.1,0.7,0.7,2.3
Ty Lawson (DEN),62,36.1,8.8,56.9,543,1.1,1.4,18.2,21,27.9
Troy Daniels (HOU),5,15.1,1,13.4,5,0,0.2,1.4,2.6,8.3
Tristan Thompson (CLE),82,31.8,0.9,38.1,72,0.1,0.5,1.8,2.1,3.2
Trey Burke (UTA),70,32.4,5.7,62.7,396,0.6,1.2,11,13.1,19.4
Trevor Booker (WAS),71,21.6,0.9,28.6,64,0.1,0.4,1.8,2.3,5.1
Trevor Ariza (WAS),76,35.6,2.5,36.6,189,0.4,0.8,4.7,5.7,7.7
Travis Outlaw (SAC),63,17,0.8,13.1,48,0.1,0.1,1.5,1.7,4.8
Toure Murry (NYK),51,7.4,1,10.3,49,0.2,0.2,2,2.2,14.6
Tornike Shengelia (TOTAL),25,5.9,0.4,5.8,11,0,0,0.6,1,8.4
Tornike Shengelia (CHI),9,1.9,0.2,2.4,2,0.1,0,0.3,0.7,16.5
Tornike Shengelia (BKN),16,8.2,0.6,7.6,9,0,0.1,0.8,1.3,7.4
Tony Wroten (PHI),72,24.6,3,31.6,217,0.4,0.5,6,7,13.7
Tony Snell (CHI),77,16,0.9,12.4,68,0.1,0.2,1.9,1.9,5.8
Tony Parker (SAS),68,29.5,5.7,55.6,388,0.6,1.7,12,13.5,21.9
Tony Mitchell (MIL),3,3.3,0.3,2.3,1,0,0.3,0.3,0.7,9.8
Tony Mitchell (DET),21,3.8,0.1,3.5,2,0,0.1,0.3,0.2,3
Tony Allen (MEM),55,23.3,1.7,18.5,94,0.2,0.3,3,3.8,7.8
Toney Douglas (MIA),27,15.3,1.8,21.8,49,0,0.6,3.6,4.3,13.6
Toney Douglas (GSW),24,11.1,0.8,16.1,19,0.1,0.3,2.2,1.8,7.7
Toney Douglas (TOTAL),51,13.3,1.3,19.1,68,0.1,0.5,2.9,3.1,11.3
Tobias Harris (ORL),61,30.5,1.3,31.3,82,0.1,0.4,2.4,3.2,5.1
Timofey Mozgov (DEN),82,21.7,0.8,24.7,62,0,0.2,1.6,1.9,4.1
Tim Hardaway Jr. (NYK),81,23.3,0.8,17.3,66,0,0.2,1.6,2,4
Tim Duncan (SAS),74,29.3,3,42.5,220,0.2,0.5,4.9,6.7,11
Tiago Splitter (SAS),59,21.7,1.5,27.1,90,0.2,0.3,2.9,3.6,8
Thomas Robinson (POR),70,12.5,0.5,13.5,34,0.1,0.2,1.1,1.2,4.5
Thaddeus Young (PHI),79,34.5,2.3,46.8,182,0.3,0.6,4.7,5.3,7.4
Thabo Sefolosha (OKC),61,26.2,1.5,19.7,94,0.1,0.6,3.1,3.4,6.2
Terrence Ross (TOR),80,26.8,1,17.8,78,0.1,0.3,2,2.2,4
Terrence Jones (HOU),76,27.5,1.1,28.3,87,0.1,0.4,2.1,2.8,4.9
Tayshaun Prince (MEM),76,25.7,1.6,28.9,119,0.2,0.9,3.5,3.5,6.5
Taj Gibson (CHI),82,28.8,1.1,29.2,91,0.1,0.4,2.5,2.8,4.6
Steven Adams (OKC),81,14.9,0.5,15.6,43,0,0.2,1,1.2,4
Steve Novak (TOR),54,10,0.2,10.1,13,0.1,0.1,0.5,0.7,3.3
Steve Nash (LAL),15,21,5.7,42.5,86,0.7,1.4,12.3,13.7,31.4
Steve Blake (TOTAL),55,27.4,5.6,47.3,307,0.4,1.4,11.1,13,22.8
Steve Blake (LAL),27,33.2,7.6,61.2,205,0.5,1.9,14.4,17.6,25.5
Steve Blake (GSW),28,21.9,3.6,33.9,102,0.3,1,7.8,8.6,18.8
Stephen Jackson (LAC),9,11.9,0.6,8.3,5,0,0.2,1,1.3,5.4
Stephen Curry (GSW),77,36.7,8.5,53.5,656,0.6,1.7,15.4,19.2,25.2
Spencer Hawes (TOTAL),80,31,3,51.1,240,0.3,0.6,6,6.7,10.3
Spencer Hawes (CLE),27,29.9,2.4,46.1,64,0.4,0.8,4.8,5.4,8.7
Spencer Hawes (PHI),53,31.5,3.3,53.7,176,0.2,0.5,6.6,7.3,11.1
Solomon Jones (ORL),11,7.8,0.2,8.4,2,0,0.1,0.6,0.4,2.2
Solomon Hill (IND),28,8.1,0.4,8.1,12,0,0.3,1.1,1.1,6.3
Shelvin Mack (ATL),72,20.5,3.7,36.2,264,0.4,1.1,7.3,9,21
Shawne Williams (LAL),36,21.1,0.8,27.1,30,0,0.2,1.3,2.2,4.9
Shawn Marion (DAL),76,31.8,1.6,36.2,124,0.2,0.5,3.5,4,6.1
Shavlik Randolph (PHX),14,6.8,0.1,6.9,1,0,0.2,0.3,0.1,1
Shaun Livingston (BKN),75,26.1,3.3,42.4,244,0.4,0.9,6.7,8,14.7
Shannon Brown (SAS),10,10.4,0.5,10.5,5,0,0,1,1.1,5.1
Shannon Brown (TOTAL),29,8.7,0.3,8.3,9,0,0.1,0.9,0.7,3.8
Shannon Brown (NYK),19,7.9,0.2,7.1,4,0,0.2,0.8,0.5,2.9
Shane Larkin (DAL),48,10.2,1.5,17.7,71,0.1,0.5,3,3.5,16.4
Shane Edwards (CLE),2,5.9,0,6.5,0,0.5,0,0,0.5,4.1
Shane Battier (MIA),73,20.2,0.9,25.3,63,0.1,0.5,2.1,2.2,5.3
